State,equalvoice.ca,policyalternatives.ca,liberal.ca,greenparty.ca,ndp.ca,westernblockparty.com,davidsuzuki.org,canadians.org,egale.ca,fairvotecanada.org,fairvote.ca,conservative.ca,ccla.org,canadianactionparty.ca,blocquebecois.org,afn.ca,communist-party.ca,chp.ca,ccsd.ca,socialist.ca,other
05/10,0,0,4925,183753,18,338441,0,0,0,0,0,74333,0,416,10038,0,1119,497,0,0,20462
05/11,0,0,2970,97537,0,114463,0,0,0,0,0,29995,0,180,4186,0,480,213,0,0,7848
06/02,0,0,759,912,89052,11951,0,0,0,0,0,1195,0,208,1154,0,166,70,0,0,2752
06/03,216,86524,813,391,97302,12430,2759,40706,12688,14588,0,1530,382,206,1121,2830,168,70,2834,1545,9359
06/04,217,86299,81,900,95715,12688,3036,42685,12714,14874,0,1590,382,220,1107,2805,51994,70,2852,1552,9285
06/05,219,73300,687,821,2801,13044,3027,31082,12772,0,0,1879,382,224,1148,2966,20997,70,2834,1569,8350
06/06,222,89758,751,887,2894,13350,3050,42099,12900,0,0,2205,382,243,1165,3005,21262,70,2835,1569,7974
06/07,222,87973,747,820,2850,13635,3083,43125,12971,0,0,2256,433,256,1165,3020,21261,70,2833,1599,8060
06/08,605,72789,4262,807,2750,12816,3077,39165,12971,0,0,2217,433,263,1167,3069,21263,61,2833,1599,8228
06/09,607,43557,3905,878,2892,27,3130,35843,13022,0,0,2828,433,287,1174,3093,21264,61,2835,1644,8696
06/10,610,41990,3894,41375,3086,27,3163,31062,13037,0,0,3552,434,316,1178,3178,21296,61,2850,1665,8953
06/11,630,94094,3964,35740,3274,27,3168,1191,13051,0,0,3841,434,284,1183,3480,175,61,2855,1665,9125
06/12,634,95555,4085,47537,3514,27,3217,1191,13053,27300,0,3718,434,0,928,3542,169,0,2860,1728,9107
07/01,659,96302,4829,50462,3563,27,3221,1210,13045,26936,0,3585,435,0,929,3505,170,0,2860,1728,9200
07/02,859,123,5524,120652,3510,26,5613,1266,13049,27003,0,3922,433,0,894,3559,171,0,2916,33,9387
07/03,1047,121,5597,107020,3743,26,10238,1331,13090,31370,0,3345,432,0,867,3796,174,0,2916,33,8917
07/04,1152,120,3907,118218,3831,27,10374,1368,13096,32540,0,3235,432,0,875,3844,174,0,2916,33,9228
07/05,1166,112,4176,108317,4595,27,10616,1394,13382,33421,0,2766,434,0,4225,4009,176,0,2916,33,9137
07/06,1182,112,4404,112587,4750,27,11412,1422,12213,46821,0,2447,434,0,4432,4068,179,0,2920,33,9152
07/07,113,0,204,85,46,27,172,74,77,123,0,19,150,0,40,48,106,0,94,33,1693
07/08,1223,111,4861,99227,4898,27,11197,1512,12242,21698,0,2200,434,0,4507,4097,179,0,2931,33,9227
07/09,1721,89350,4948,49370,5006,37140,11296,1602,12243,22055,0,2281,446,0,4643,4112,177,0,2933,33,9218
07/10,1282,226364,5072,92197,5067,27,11464,1741,12237,899,0,2080,446,0,4690,4248,180,0,2950,0,10185
07/11,1303,219953,222776,90186,5119,27,11498,1726,12234,859,0,1977,446,0,4795,4288,182,0,3006,0,10340
07/12,1328,231224,5458,86685,6237,27,11764,1777,12397,10559,0,2349,446,0,4938,4358,183,0,3001,0,11335
08/01,1348,231014,5490,90470,6283,27,11856,1784,12402,19958,0,2318,459,0,4973,4374,188,0,3005,0,10252
08/02,1374,233282,5588,0,6083,27,12011,1861,12432,20590,0,2322,459,0,5076,4405,184,0,3005,0,12022
08/03,1399,235679,244031,0,5690,27,12275,1927,12485,0,0,2315,459,0,5182,4433,185,0,3011,0,13013
08/04,1413,181359,255756,116504,6296,27,12415,1970,12510,0,0,2693,459,0,5267,4461,185,0,3012,0,12289
08/05,0,44361,232832,90339,5535,27,12484,2030,12512,0,0,2744,461,0,5380,4652,191,0,3017,0,12996
08/06,1427,175316,172854,97121,7008,27,18765,2065,12533,0,0,3416,461,0,5518,4675,193,0,3017,0,12443
08/07,1427,153155,169471,64366,7062,27,19028,2088,12530,440,0,4191,461,0,5607,4687,99,0,3018,0,12580
08/09,1467,2974,600,2874,2490,0,1836,2195,350,11,2306,584,479,0,0,2629,91,0,2858,0,12996
08/10,0,175338,77653,101308,3264,0,17723,76,12189,0,0,2668,0,0,0,2055,0,0,178,0,114501
08/11,1470,176960,7178,121593,1292,0,19579,2316,12543,11,354,4589,478,0,6085,4910,96,0,3066,0,14682
09/02,1517,82447,7336,22449,2514,0,20185,2421,13155,11,420,2251,496,0,6445,5000,103,280,3293,0,13477
09/05,1690,105360,6073,21762,3127,0,21143,2752,13302,11,425,2098,1121,0,6374,5147,105,288,3285,0,10053
09/08,180,94112,8146,44692,2972,0,7493,1218,6347,0,310,1822,673,0,6848,164,0,37,984,0,3703
09/11,313,79584,27463,41763,5973,0,7725,1503,169,0,4567,2060,1160,0,6214,158,0,47,231,0,50268
09/12,239125,11096,12548,37752,7458,0,1991,1562,6449,0,6356,1901,1101,0,6388,120,17,17,1388,0,6436
10/02,248662,11112,7240,38375,8632,0,2558,1547,6357,0,8626,1677,1227,78637,6427,331,0,15,21,0,5614
10/05,147324,7528,13830,33981,20530,0,2285,2382,141,0,11457,1120,1122,63769,17,539,0,26,1073,0,17711
10/08,242562,11552,154894,37019,22106,0,5232,9665,11274,0,13595,1016,7342,76430,13471,5230,12,20,0,0,13907
10/11,245261,8393,77402,36561,19971,0,4811,8675,10724,12,16125,915,5948,549,7026,442,23,18,21,32,27152
11/02,268402,10821,102433,42102,20850,0,5079,7357,10873,0,23091,815,8079,687,7292,252,0,12062,3218,199,9804
11/05,236160,13592,110371,40022,15219,0,7396,4892,8034,0,21386,5771,9506,604,7873,537,27,12534,324,95,11131
11/08,227639,17405,109793,40212,8846,0,9705,5443,7599,11,22771,2413,10480,0,5240,807,0,13001,608,121,11471
11/11,218506,25393,111682,40445,20487,0,15726,4102,7397,0,22350,2622,11758,672,8101,957,0,13664,1131,38,6630
12/02,199867,15550,199053,40567,20814,0,10085,4078,7324,0,22448,2792,12762,0,8106,1155,0,14433,1717,22,13744
12/05,196865,20074,190222,43432,19074,0,11827,3799,321,11,23384,2193,6029,0,5482,1343,0,15053,1975,0,11097
12/08,237524,21072,196966,34983,17314,0,12800,3740,0,0,22578,1194,16061,0,5483,1632,0,15071,2089,0,10596
12/11,235576,21145,142830,35203,23901,0,14759,3854,0,0,23036,0,16996,0,5628,1826,0,15609,2219,0,11635
13/02,232378,20986,235874,35059,23745,0,14167,4594,0,0,9576,18,17959,0,315,2132,0,16335,0,3010,12172
13/05,136634,18551,83239,18659,22235,0,11186,1587,0,0,8169,0,8606,0,109,5106,0,949,2432,3285,19521
13/08,72849,19235,97936,19428,20898,0,9097,19590,0,0,0,0,7798,0,107,5863,0,992,3811,3574,17908
13/11,28673,2882,17603,3651,3358,0,11038,2140,0,0,107,1448,8428,0,114,3261,0,1090,1685,2226,10361
14/02,112785,17610,85676,17947,13664,0,11339,15839,0,0,107,1516,10009,0,111,6816,0,1134,1933,4129,20223
14/05,116189,16316,69797,16528,19081,0,9728,16087,0,0,149,1549,14072,13,111,7430,103,1208,952,16034,54132
14/08,108645,20130,98779,13,20920,60,9605,19585,0,0,0,2727,4829,0,0,7657,124,0,765,18590,63654
14/11,186151,18125,80708,22210,20200,0,10039,17441,0,0,0,3309,5105,0,0,8066,144,0,1048,18299,12440
15/02,625,17745,61644,19714,19123,0,13583,16520,2271,0,169,4757,16102,13,113,7345,159,778,736,18459,40095
15/05,278,16744,36933,14087,18511,0,10952,16826,2354,0,166,4739,16468,13,19,6190,348,672,756,14041,13699
